District ,Crop,Crop_Year,Season,Area ,Production,Yield
RUPNAGAR,Sugarcane,2017,Whole Year ,3000,229000,76.33
RUPNAGAR,Sugarcane,2018,Whole Year ,2000,148000,74
RUPNAGAR,Sugarcane,2019,Whole Year ,2200,167000,75.91
S NAGAR,Sugarcane,2009,Whole Year ,1000,5000,5
S NAGAR,Sugarcane,2011,Whole Year ,1000,65000,65
S NAGAR,Sugarcane,2012,Whole Year ,1000,57000,57
S NAGAR,Sugarcane,2013,Whole Year ,1000,61000,61
S NAGAR,Sugarcane,2014,Whole Year ,1000,64000,64
S NAGAR,Sugarcane,2015,Whole Year ,1000,59000,59
S NAGAR,Sugarcane,2016,Whole Year ,1000,68000,68
S NAGAR,Sugarcane,2017,Whole Year ,1000,78000,78
S NAGAR,Sugarcane,2018,Whole Year ,1000,76000,76
S NAGAR,Sugarcane,2019,Whole Year ,1200,101000,84.17
SANGRUR,Sugarcane,1997,Whole Year ,7000,450000,64.29
SANGRUR,Sugarcane,1998,Whole Year ,5000,330000,66
SANGRUR,Sugarcane,1999,Whole Year ,4000,280000,70
SANGRUR,Sugarcane,2000,Whole Year ,3000,220000,73.33
SANGRUR,Sugarcane,2001,Whole Year ,4000,280000,70
SANGRUR,Sugarcane,2002,Whole Year ,4000,280000,70
SANGRUR,Sugarcane,2003,Whole Year ,3000,200000,66.67
SANGRUR,Sugarcane,2004,Whole Year ,2000,150000,75
SANGRUR,Sugarcane,2005,Whole Year ,1000,75000,75
SANGRUR,Sugarcane,2009,Whole Year ,1000,8000,8
SANGRUR,Sugarcane,2011,Whole Year ,2000,163000,81.5
SANGRUR,Sugarcane,2012,Whole Year ,2000,161000,80.5
SANGRUR,Sugarcane,2013,Whole Year ,3000,264000,88
SANGRUR,Sugarcane,2014,Whole Year ,3000,265000,88.33
SANGRUR,Sugarcane,2015,Whole Year ,3000,260000,86.67
SANGRUR,Sugarcane,2016,Whole Year ,3000,267000,89
SANGRUR,Sugarcane,2017,Whole Year ,4000,369000,92.25
SANGRUR,Sugarcane,2018,Whole Year ,3000,255000,85
SANGRUR,Sugarcane,2019,Whole Year ,2600,239000,91.92
SHAHID BHAGAT SINGH NAGAR,Sugarcane,1997,Whole Year ,13000,730000,56.15
SHAHID BHAGAT SINGH NAGAR,Sugarcane,1998,Whole Year ,11000,630000,57.27
SHAHID BHAGAT SINGH NAGAR,Sugarcane,1999,Whole Year ,12000,700000,58.33
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2000,Whole Year ,12000,760000,63.33
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2001,Whole Year ,12000,720000,60
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2002,Whole Year ,12000,640000,53.33
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2003,Whole Year ,10000,470000,47
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2004,Whole Year ,7000,380000,54.29
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2005,Whole Year ,7000,380000,54.29
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2009,Whole Year ,5000,31000,6.2
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2011,Whole Year ,6000,407000,67.83
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2012,Whole Year ,5000,327000,65.4
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2013,Whole Year ,6000,401000,66.83
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2014,Whole Year ,6000,395000,65.83
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2015,Whole Year ,6000,453000,75.5
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2016,Whole Year ,6000,470000,78.33
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2017,Whole Year ,6000,483000,80.5
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2018,Whole Year ,6000,467000,77.83
SHAHID BHAGAT SINGH NAGAR,Sugarcane,2019,Whole Year ,6000,458000,76.33
TARN TARAN,Sugarcane,2011,Whole Year ,1000,40000,40
TARN TARAN,Sugarcane,2012,Whole Year ,1000,71000,71
TARN TARAN,Sugarcane,2013,Whole Year ,1000,75000,75
TARN TARAN,Sugarcane,2017,Whole Year ,1000,95000,95
TARN TARAN,Sugarcane,2019,Whole Year ,500,40000,80
AMRITSAR,Sunflower,2003,Rabi       ,1000,2000,2
FATEHGARH SAHIB,Sunflower,2012,Rabi       ,1000,2200,2.2
FATEHGARH SAHIB,Sunflower,2016,Rabi       ,1000,1700,1.7
FATEHGARH SAHIB,Sunflower,2017,Rabi       ,2400,4200,1.75
FATEHGARH SAHIB,Sunflower,2018,Rabi       ,2000,4300,2.15
FATEHGARH SAHIB,Sunflower,2019,Rabi       ,2400,4700,1.96
HOSHIARPUR,Sunflower,2003,Rabi       ,7000,12000,1.71
HOSHIARPUR,Sunflower,2012,Rabi       ,1500,3300,2.2
HOSHIARPUR,Sunflower,2016,Rabi       ,700,1000,1.43
JALANDHAR,Sunflower,2003,Rabi       ,5000,8000,1.6
JALANDHAR,Sunflower,2012,Rabi       ,3500,5700,1.63
JALANDHAR,Sunflower,2016,Rabi       ,800,1200,1.5
JALANDHAR,Sunflower,2017,Rabi       ,200,300,1.5
KAPURTHALA,Sunflower,2003,Rabi       ,2000,3000,1.5
KAPURTHALA,Sunflower,2012,Rabi       ,1300,2200,1.69
KAPURTHALA,Sunflower,2016,Rabi       ,200,300,1.5
KAPURTHALA,Sunflower,2017,Rabi       ,100,200,2
LUDHIANA,Sunflower,2003,Rabi       ,1000,2000,2
LUDHIANA,Sunflower,2012,Rabi       ,1200,2100,1.75
LUDHIANA,Sunflower,2016,Rabi       ,1200,2300,1.92
LUDHIANA,Sunflower,2017,Rabi       ,1200,2500,2.08
LUDHIANA,Sunflower,2018,Rabi       ,1000,1900,1.9
LUDHIANA,Sunflower,2019,Rabi       ,100,200,2
PATIALA,Sunflower,2003,Rabi       ,2000,3000,1.5
PATIALA,Sunflower,2012,Rabi       ,1000,1600,1.6
PATIALA,Sunflower,2016,Rabi       ,700,1200,1.71
PATIALA,Sunflower,2017,Rabi       ,1500,3100,2.07
PATIALA,Sunflower,2018,Rabi       ,1000,1800,1.8
PATIALA,Sunflower,2019,Rabi       ,1100,1900,1.73
RUPNAGAR,Sunflower,2003,Rabi       ,1000,2000,2
S NAGAR,Sunflower,2012,Rabi       ,1800,4000,2.22
S NAGAR,Sunflower,2016,Rabi       ,800,1400,1.75
S NAGAR,Sunflower,2017,Rabi       ,600,1100,1.83
S NAGAR,Sunflower,2018,Rabi       ,1000,1700,1.7
S NAGAR,Sunflower,2019,Rabi       ,600,1000,1.67
SANGRUR,Sunflower,2012,Rabi       ,100,200,2
SHAHID BHAGAT SINGH NAGAR,Sunflower,2003,Rabi       ,1000,2000,2
SHAHID BHAGAT SINGH NAGAR,Sunflower,2012,Rabi       ,1000,2000,2
SHAHID BHAGAT SINGH NAGAR,Sunflower,2016,Rabi       ,400,500,1.25
SHAHID BHAGAT SINGH NAGAR,Sunflower,2017,Rabi       ,100,200,2
SHAHID BHAGAT SINGH NAGAR,Sunflower,2019,Rabi       ,100,200,2
TARN TARAN,Sunflower,2012,Rabi       ,200,400,2
AMRITSAR,Urad,1997,Kharif     ,600,200,0.33
AMRITSAR,Urad,1998,Kharif     ,400,200,0.5
AMRITSAR,Urad,1999,Kharif     ,400,200,0.5
AMRITSAR,Urad,2002,Kharif     ,700,300,0.43
AMRITSAR,Urad,2003,Kharif     ,800,300,0.38
AMRITSAR,Urad,2004,Kharif     ,300,100,0.33
AMRITSAR,Urad,2005,Kharif     ,200,100,0.5
AMRITSAR,Urad,2006,Kharif     ,300,100,0.33
AMRITSAR,Urad,2007,Kharif     ,500,200,0.4
AMRITSAR,Urad,2008,Kharif     ,200,100,0.5
AMRITSAR,Urad,2009,Kharif     ,200,200,1
AMRITSAR,Urad,2010,Kharif     ,300,200,0.67
AMRITSAR,Urad,2011,Kharif     ,200,100,0.5
AMRITSAR,Urad,2012,Kharif     ,400,200,0.5
AMRITSAR,Urad,2013,Kharif     ,300,140,0.47
AMRITSAR,Urad,2014,Kharif     ,200,110,0.55
AMRITSAR,Urad,2015,Kharif     ,300,160,0.53
AMRITSAR,Urad,2016,Kharif     ,100,100,1
AMRITSAR,Urad,2017,Kharif     ,100,100,1
AMRITSAR,Urad,2018,Kharif     ,100,100,1
AMRITSAR,Urad,2019,Kharif     ,100,100,1
GURDASPUR,Urad,1997,Kharif     ,2300,800,0.35
GURDASPUR,Urad,1998,Kharif     ,2700,1300,0.48
GURDASPUR,Urad,1999,Kharif     ,1900,1000,0.53
GURDASPUR,Urad,2002,Kharif     ,2000,1100,0.55
GURDASPUR,Urad,2003,Kharif     ,2400,1000,0.42
GURDASPUR,Urad,2004,Kharif     ,2200,1200,0.55
GURDASPUR,Urad,2005,Kharif     ,1800,900,0.5
GURDASPUR,Urad,2006,Kharif     ,2200,1000,0.45
GURDASPUR,Urad,2007,Kharif     ,2000,900,0.45
GURDASPUR,Urad,2008,Kharif     ,1800,800,0.44
GURDASPUR,Urad,2009,Kharif     ,1800,800,0.44
GURDASPUR,Urad,2010,Kharif     ,1800,900,0.5
GURDASPUR,Urad,2011,Kharif     ,1800,500,0.28
GURDASPUR,Urad,2012,Kharif     ,300,100,0.33
GURDASPUR,Urad,2013,Kharif     ,300,160,0.53
GURDASPUR,Urad,2014,Kharif     ,300,160,0.53
GURDASPUR,Urad,2015,Kharif     ,300,260,0.87
GURDASPUR,Urad,2016,Kharif     ,400,200,0.5
GURDASPUR,Urad,2017,Kharif     ,200,200,1
GURDASPUR,Urad,2018,Kharif     ,300,200,0.67
GURDASPUR,Urad,2019,Kharif     ,300,200,0.67
HOSHIARPUR,Urad,1997,Kharif     ,300,200,0.67
HOSHIARPUR,Urad,1998,Kharif     ,400,200,0.5
HOSHIARPUR,Urad,1999,Kharif     ,400,200,0.5
HOSHIARPUR,Urad,2002,Kharif     ,600,200,0.33
HOSHIARPUR,Urad,2003,Kharif     ,1000,400,0.4
HOSHIARPUR,Urad,2004,Kharif     ,400,100,0.25
HOSHIARPUR,Urad,2005,Kharif     ,300,100,0.33
HOSHIARPUR,Urad,2006,Kharif     ,300,100,0.33
HOSHIARPUR,Urad,2007,Kharif     ,500,200,0.4
HOSHIARPUR,Urad,2008,Kharif     ,400,200,0.5
HOSHIARPUR,Urad,2009,Kharif     ,400,200,0.5
HOSHIARPUR,Urad,2010,Kharif     ,400,200,0.5
HOSHIARPUR,Urad,2011,Kharif     ,600,400,0.67
HOSHIARPUR,Urad,2012,Kharif     ,300,200,0.67
HOSHIARPUR,Urad,2013,Kharif     ,100,30,0.3
HOSHIARPUR,Urad,2014,Kharif     ,100,30,0.3
HOSHIARPUR,Urad,2015,Kharif     ,100,50,0.5
HOSHIARPUR,Urad,2016,Kharif     ,200,100,0.5
HOSHIARPUR,Urad,2019,Kharif     ,100,100,1
JALANDHAR,Urad,1997,Kharif     ,300,100,0.33
JALANDHAR,Urad,2002,Kharif     ,100,100,1
JALANDHAR,Urad,2003,Kharif     ,100,100,1
JALANDHAR,Urad,2004,Kharif     ,100,100,1
JALANDHAR,Urad,2005,Kharif     ,100,100,1
JALANDHAR,Urad,2014,Kharif     ,200,110,0.55
PATHANKOT,Urad,2012,Kharif     ,1200,500,0.42
PATHANKOT,Urad,2013,Kharif     ,1300,610,0.47
PATHANKOT,Urad,2014,Kharif     ,1200,670,0.56
PATHANKOT,Urad,2015,Kharif     ,1100,460,0.42
PATHANKOT,Urad,2016,Kharif     ,1200,500,0.42
PATHANKOT,Urad,2018,Kharif     ,1300,600,0.46
PATHANKOT,Urad,2019,Kharif     ,1200,500,0.42
PATIALA,Urad,1997,Kharif     ,200,100,0.5
PATIALA,Urad,1998,Kharif     ,200,100,0.5
PATIALA,Urad,1999,Kharif     ,100,10,0.1
PATIALA,Urad,2002,Kharif     ,100,100,1
PATIALA,Urad,2003,Kharif     ,100,100,1
PATIALA,Urad,2004,Kharif     ,100,100,1
PATIALA,Urad,2005,Kharif     ,100,100,1
PATIALA,Urad,2008,Kharif     ,100,,0
PATIALA,Urad,2017,Kharif     ,1100,500,0.45
RUPNAGAR,Urad,1997,Kharif     ,1000,500,0.5
RUPNAGAR,Urad,1998,Kharif     ,400,200,0.5
RUPNAGAR,Urad,1999,Kharif     ,800,300,0.38
RUPNAGAR,Urad,2002,Kharif     ,400,100,0.25
RUPNAGAR,Urad,2003,Kharif     ,700,200,0.29
RUPNAGAR,Urad,2004,Kharif     ,300,200,0.67
RUPNAGAR,Urad,2005,Kharif     ,300,200,0.67
RUPNAGAR,Urad,2006,Kharif     ,200,100,0.5
RUPNAGAR,Urad,2007,Kharif     ,100,100,1
RUPNAGAR,Urad,2008,Kharif     ,100,100,1
RUPNAGAR,Urad,2009,Kharif     ,100,,0
RUPNAGAR,Urad,2010,Kharif     ,100,100,1
